rfid_uid,Book Number ,Title,Author ,Ed./Vol.,Publisher place,Publisher,Year,Page(s),Class No.,Programme/ Dicipline,,,,Withdrawn Date,Remarks,ISBN /ISSN,Subject,Text/Reference,"Depriciated value
(Till 01-04-2022)"
,B4085,Fluid power with applications,"Esposito, Anthony",7th ed.,Noida Pearson Education, Pearson Education,2017,648 p.,620.106 ESP,Mechanical Engineering (B.Tech),,,,,SDG00040,9.78933E+12,Mechanical Engineering (B.Tech),,
,B4086,Fluid power with applications,"Esposito, Anthony",7th ed.,Noida Pearson Education, Pearson Education,2017,648 p.,620.106 ESP,Mechanical Engineering (B.Tech),,,,,SDG00041,9.78933E+12,Mechanical Engineering (B.Tech),,
,B4087,Fluid power with applications,"Esposito, Anthony",7th ed.,Noida Pearson Education, Pearson Education,2017,648 p.,620.106 ESP,Mechanical Engineering (B.Tech),,,,,SDG00042,9.78933E+12,Mechanical Engineering (B.Tech),,
,B4088,Fluid power with applications,"Esposito, Anthony",7th ed.,Noida Pearson Education, Pearson Education,2017,648 p.,620.106 ESP,Mechanical Engineering (B.Tech),,,,,SDG00043,9.78933E+12,Mechanical Engineering (B.Tech),,
,B4089,Fluid power with applications,"Esposito, Anthony",7th ed.,Noida Pearson Education, Pearson Education,2017,648 p.,620.106 ESP,Mechanical Engineering (B.Tech),,,,,SDG00044,9.78933E+12,Mechanical Engineering (B.Tech),,
,B4090,Fluid power with applications,"Esposito, Anthony",7th ed.,Noida Pearson Education, Pearson Education,2017,648 p.,620.106 ESP,Mechanical Engineering (B.Tech),,,,,SDG00045,9.78933E+12,Mechanical Engineering (B.Tech),,
,B4091,Fluid power with applications,"Esposito, Anthony",7th ed.,Noida Pearson Education, Pearson Education,2017,648 p.,620.106 ESP,Mechanical Engineering (B.Tech),,,,,SDG00046,9.78933E+12,Mechanical Engineering (B.Tech),,
,B4092,Fluid power with applications,"Esposito, Anthony",7th ed.,Noida Pearson Education, Pearson Education,2017,648 p.,620.106 ESP,Mechanical Engineering (B.Tech),,,,,SDG00047,9.78933E+12,Mechanical Engineering (B.Tech),,
,B4093,Fluid power with applications,"Esposito, Anthony",7th ed.,Noida Pearson Education, Pearson Education,2017,648 p.,620.106 ESP,Mechanical Engineering (B.Tech),,,,,SDG00048,9.78933E+12,Mechanical Engineering (B.Tech),,
,B4094,Fluid power with applications,"Esposito, Anthony",7th ed.,Noida Pearson Education, Pearson Education,2017,648 p.,620.106 ESP,Mechanical Engineering (B.Tech),,,,,SDG00049,9.78933E+12,Mechanical Engineering (B.Tech),,
,B4095,Fluid power with applications,"Esposito, Anthony",7th ed.,Noida Pearson Education, Pearson Education,2017,648 p.,620.106 ESP,Mechanical Engineering (B.Tech),,,,,SDG00050,9.78933E+12,Mechanical Engineering (B.Tech),,
,B4096,Fluid power with applications,"Esposito, Anthony",7th ed.,Noida Pearson Education, Pearson Education,2017,648 p.,620.106 ESP,Mechanical Engineering (B.Tech),,,,,SDG00051,9.78933E+12,Mechanical Engineering (B.Tech),,
,B4097,Fluid power with applications,"Esposito, Anthony",7th ed.,Noida Pearson Education, Pearson Education,2017,648 p.,620.106 ESP,Mechanical Engineering (B.Tech),,,,,SDG00052,9.78933E+12,Mechanical Engineering (B.Tech),,
,B4098,Human resource management,,2nd ed.,Noida Pearson Education, Pearson Education,2016,xiii;729,658.3005 DUR,Management (BBA),,,,,SDG00053,9.78933E+12,Management (BBA),,
,B4099,Human resource management,,2nd ed.,Noida Pearson Education, Pearson Education,2016,xiii;729,658.3005 DUR,Management (BBA),,,,,SDG00054,9.78933E+12,Management (BBA),,
,B4100,Human resource management,,2nd ed.,Noida Pearson Education, Pearson Education,2016,xiii;729,658.3005 DUR,Management (BBA),,,,,SDG00055,9.78933E+12,Management (BBA),,
,B4101,Human resource management,,2nd ed.,Noida Pearson Education, Pearson Education,2016,xiii;729,658.3005 DUR,Management (BBA),,,,,SDG00056,9.78933E+12,Management (BBA),,
,B4102,Human resource management,,2nd ed.,Noida Pearson Education, Pearson Education,2016,xiii;729,658.3005 DUR,Management (BBA),,,,,SDG00057,9.78933E+12,Management (BBA),,
,B4103,Reinforced concrete vol. II,"Shah, H.J.","7th ed. , Volume-2",Ananad , Charotar publishing house pvt ltd,2014,xvi;536,693.54 SHA,Civil Engineering (B.Tech),,,,,SDG00058,9.78819E+12,Civil Engineering (B.Tech),,
,B4104,Reinforced concrete vol. II,"Shah, H.J.","7th ed. , Volume-2",Ananad , Charotar publishing house pvt ltd,2014,xvi;536,693.54 SHA,Civil Engineering (B.Tech),,,,,SDG00059,9.78819E+12,Civil Engineering (B.Tech),,
,B4105,Reinforced concrete vol. II,"Shah, H.J.","7th ed. , Volume-2",Ananad , Charotar publishing house pvt ltd,2014,xvi;536,693.54 SHA,Civil Engineering (B.Tech),,,,,SDG00060,9.78819E+12,Civil Engineering (B.Tech),,
,B4106,Financial management,,7th ed.,  McGraw Hill Education (India) pvt ltd, McGraw Hill Education (India) pvt ltd,2017,xxi;36.45 p.,658.15 KHA,Management (BBA),,,,,SDG00061,9.78934E+12,Management (BBA),,
,B4107,Financial management,,7th ed.,  McGraw Hill Education (India) pvt ltd, McGraw Hill Education (India) pvt ltd,2017,xxi;36.45 p.,658.15 KHA,Management (BBA),,,,,SDG00062,9.78934E+12,Management (BBA),,
,B4108,Financial management,,7th ed.,  McGraw Hill Education (India) pvt ltd, McGraw Hill Education (India) pvt ltd,2017,xxi;36.45 p.,658.15 KHA,Management (BBA),,,,,SDG00063,9.78934E+12,Management (BBA),,
,B4109,Management,,6th ed.,Noida Pearson Education, Pearson Education,2018,xxvii;543 p.,658 STO,Management (BBA),,,,,SDG00064,9.78935E+12,Management (BBA),,
,B4110,Management,,6th ed.,Noida Pearson Education, Pearson Education,2018,xxvii;543 p.,658 STO,Management (BBA),,,,,SDG00065,9.78935E+12,Management (BBA),,
,B4111,Geology for engineers environmental scientists,"Kehew, Alan E.",3rd ed.,Noida Pearson Education, Pearson Education,2017,704 p.,550 KEH,Civil Engineering (B.Tech),,,,,SDG00066,9.78933E+12,Civil Engineering (B.Tech),,
,B4112,Geology for engineers environmental scientists,"Kehew, Alan E.",3rd ed.,Noida Pearson Education, Pearson Education,2017,704 p.,550 KEH,Civil Engineering (B.Tech),,,,,SDG00067,9.78933E+12,Civil Engineering (B.Tech),,
,B4113,Textbook of economic theory,"Stonier, Alfred W.",5th ed.,Noida Pearson Education, Pearson Education,2008,xxi;699 p.,339.01 STO,Management (BBA),,,,,SDG00068,9.78813E+12,Management (BBA),,
,B4114,Textbook of economic theory,"Stonier, Alfred W.",5th ed.,Noida Pearson Education, Pearson Education,2008,xxi;699 p.,339.01 STO,Management (BBA),,,,,SDG00069,9.78813E+12,Management (BBA),,
,B4115,Textbook of economic theory,"Stonier, Alfred W.",5th ed.,Noida Pearson Education, Pearson Education,2008,xxi;699 p.,339.01 STO,Management (BBA),,,,,SDG00070,9.78813E+12,Management (BBA),,
,B4116,Surveying vol. I,,4th ed.,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2017,xiii;625 p.,625.11 DUG,Civil Engineering (B.Tech),,,,,SDG00071,9.78126E+12,Civil Engineering (B.Tech),,
,B4117,Surveying vol. I,,4th ed.,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2017,xiii;625 p.,625.11 DUG,Civil Engineering (B.Tech),,,,,SDG00072,9.78126E+12,Civil Engineering (B.Tech),,
,B4118,Surveying vol. I,,4th ed.,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2017,xiii;625 p.,625.11 DUG,Civil Engineering (B.Tech),,,,,SDG00073,9.78126E+12,Civil Engineering (B.Tech),,
,B4119,Pneumatic Systems,"Majumdar, S R",1st,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2016,xi;282,629.8045 MAJ,Mechanical Engineering (B.Tech),,,,,,9.78007E+12,Mechanical Engineering (B.Tech),,
,B4120,Pneumatic Systems,"Majumdar, S R",1st,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2016,xi;282,629.8045 MAJ,Mechanical Engineering (B.Tech),,,,,,9.78007E+12,Mechanical Engineering (B.Tech),,
,B4121,Pneumatic Systems,"Majumdar, S R",1st,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2016,xi;282,629.8045 MAJ,Mechanical Engineering (B.Tech),,,,,,9.78007E+12,Mechanical Engineering (B.Tech),,
,B4122,Pneumatic Systems,"Majumdar, S R",1st,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2016,xi;282,629.8045 MAJ,Mechanical Engineering (B.Tech),,,,,,9.78007E+12,Mechanical Engineering (B.Tech),,
,B4123,Pneumatic Systems,"Majumdar, S R",1st,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2016,xi;282,629.8045 MAJ,Mechanical Engineering (B.Tech),,,,,,9.78007E+12,Mechanical Engineering (B.Tech),,
,B4124,Pneumatic Systems,"Majumdar, S R",1st,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2016,xi;282,629.8045 MAJ,Mechanical Engineering (B.Tech),,,,,,9.78007E+12,Mechanical Engineering (B.Tech),,
,B4125,Pneumatic Systems,"Majumdar, S R",1st,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2016,xi;282,629.8045 MAJ,Mechanical Engineering (B.Tech),,,,,,9.78007E+12,Mechanical Engineering (B.Tech),,
,B4126,Pneumatic Systems,"Majumdar, S R",1st,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2016,xi;282,629.8045 MAJ,Mechanical Engineering (B.Tech),,,,,,9.78007E+12,Mechanical Engineering (B.Tech),,
,B4127,Oil Hydraulic Systems,"Majumdar, S R",1st,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2017,xiv;548,629.80242 MAJ,Mechanical Engineering (B.Tech),,,,,,9.78007E+12,Mechanical Engineering (B.Tech),,
,B4128,Oil Hydraulic Systems,"Majumdar, S R",1st,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2017,xiv;548,629.80242 MAJ,Mechanical Engineering (B.Tech),,,,,,9.78007E+12,Mechanical Engineering (B.Tech),,
,B4129,Oil Hydraulic Systems,"Majumdar, S R",1st,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2017,xiv;548,629.80242 MAJ,Mechanical Engineering (B.Tech),,,,,,9.78007E+12,Mechanical Engineering (B.Tech),,
,B4130,Oil Hydraulic Systems,"Majumdar, S R",1st,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2017,xiv;548,629.80242 MAJ,Mechanical Engineering (B.Tech),,,,,,9.78007E+12,Mechanical Engineering (B.Tech),,
,B4131,Oil Hydraulic Systems,"Majumdar, S R",1st,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2017,xiv;548,629.80242 MAJ,Mechanical Engineering (B.Tech),,,,,,9.78007E+12,Mechanical Engineering (B.Tech),,
,B4132,Oil Hydraulic Systems,"Majumdar, S R",1st,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2017,xiv;548,629.80242 MAJ,Mechanical Engineering (B.Tech),,,,,,9.78007E+12,Mechanical Engineering (B.Tech),,
,B4133,Oil Hydraulic Systems,"Majumdar, S R",1st,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2017,xiv;548,629.80242 MAJ,Mechanical Engineering (B.Tech),,,,,,9.78007E+12,Mechanical Engineering (B.Tech),,
,B4134,Oil Hydraulic Systems,"Majumdar, S R",1st,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2017,xiv;548,629.80242 MAJ,Mechanical Engineering (B.Tech),,,,,,9.78007E+12,Mechanical Engineering (B.Tech),,
,B4135,Oil Hydraulic Systems,"Majumdar, S R",1st,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2017,xiv;548,629.80242 MAJ,Mechanical Engineering (B.Tech),,,,,,9.78007E+12,Mechanical Engineering (B.Tech),,
,B4136,Plant Design and Economics for Chemical Engineers,"Peters, Max S.",5th,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2017,xvii;988,660.28 PET,Chemical Engineering (B.Tech),,,,,,9.78126E+12,Chemical Engineering (B.Tech),,
,B4137,Plant Design and Economics for Chemical Engineers,"Peters, Max S.",5th,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2017,xvii;988,660.28 PET,Chemical Engineering (B.Tech),,,,,,9.78126E+12,Chemical Engineering (B.Tech),,
,B4138,Plant Design and Economics for Chemical Engineers,"Peters, Max S.",5th,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2017,xvii;988,660.28 PET,Chemical Engineering (B.Tech),,,,,,9.78126E+12,Chemical Engineering (B.Tech),,
,B4139,Plant Design and Economics for Chemical Engineers,"Peters, Max S.",5th,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2017,xvii;988,660.28 PET,Chemical Engineering (B.Tech),,,,,,9.78126E+12,Chemical Engineering (B.Tech),,
,B4140,Plant Design and Economics for Chemical Engineers,"Peters, Max S.",5th,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2017,xvii;988,660.28 PET,Chemical Engineering (B.Tech),,,,,,9.78126E+12,Chemical Engineering (B.Tech),,
,B4141,Plant Design and Economics for Chemical Engineers,"Peters, Max S.",5th,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2017,xvii;988,660.28 PET,Chemical Engineering (B.Tech),,,,,,9.78126E+12,Chemical Engineering (B.Tech),,
,B4142,Plant Design and Economics for Chemical Engineers,"Peters, Max S.",5th,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2017,xvii;988,660.28 PET,Chemical Engineering (B.Tech),,,,,,9.78126E+12,Chemical Engineering (B.Tech),,
,B4143,Plant Design and Economics for Chemical Engineers,"Peters, Max S.",5th,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2017,xvii;988,660.28 PET,Chemical Engineering (B.Tech),,,,,,9.78126E+12,Chemical Engineering (B.Tech),,
,B4144,Plant Design and Economics for Chemical Engineers,"Peters, Max S.",5th,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2017,xvii;988,660.28 PET,Chemical Engineering (B.Tech),,,,,,9.78126E+12,Chemical Engineering (B.Tech),,
,B4145,Plant Design and Economics for Chemical Engineers,"Peters, Max S.",5th,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2017,xvii;988,660.28 PET,Chemical Engineering (B.Tech),,,,,,9.78126E+12,Chemical Engineering (B.Tech),,
,B4146,Plant Design and Economics for Chemical Engineers,"Peters, Max S.",5th,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2017,xvii;988,660.28 PET,Chemical Engineering (B.Tech),,,,,,9.78126E+12,Chemical Engineering (B.Tech),,
,B4147,Plant Design and Economics for Chemical Engineers,"Peters, Max S.",5th,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2017,xvii;988,660.28 PET,Chemical Engineering (B.Tech),,,,,,9.78126E+12,Chemical Engineering (B.Tech),,
,B4148,Plant Design and Economics for Chemical Engineers,"Peters, Max S.",5th,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2017,xvii;988,660.28 PET,Chemical Engineering (B.Tech),,,,,,9.78126E+12,Chemical Engineering (B.Tech),,
,B4149,Plant Design and Economics for Chemical Engineers,"Peters, Max S.",5th,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2017,xvii;988,660.28 PET,Chemical Engineering (B.Tech),,,,,,9.78126E+12,Chemical Engineering (B.Tech),,
,B4150,Plant Design and Economics for Chemical Engineers,"Peters, Max S.",5th,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2017,xvii;988,660.28 PET,Chemical Engineering (B.Tech),,,,,,9.78126E+12,Chemical Engineering (B.Tech),,
,B4151,Plant Design and Economics for Chemical Engineers,"Peters, Max S.",5th,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2017,xvii;988,660.28 PET,Chemical Engineering (B.Tech),,,,,,9.78126E+12,Chemical Engineering (B.Tech),,
,B4152,Plant Design and Economics for Chemical Engineers,"Peters, Max S.",5th,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2017,xvii;988,660.28 PET,Chemical Engineering (B.Tech),,,,,,9.78126E+12,Chemical Engineering (B.Tech),,
,B4153,Plant Design and Economics for Chemical Engineers,"Peters, Max S.",5th,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2017,xvii;988,660.28 PET,Chemical Engineering (B.Tech),,,,,,9.78126E+12,Chemical Engineering (B.Tech),,
,B4154,Plant Design and Economics for Chemical Engineers,"Peters, Max S.",5th,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2017,xvii;988,660.28 PET,Chemical Engineering (B.Tech),,,,,,9.78126E+12,Chemical Engineering (B.Tech),,
,B4155,Plant Design and Economics for Chemical Engineers,"Peters, Max S.",5th,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2017,xvii;988,660.28 PET,Chemical Engineering (B.Tech),,,,,,9.78126E+12,Chemical Engineering (B.Tech),,
,B4156,Plant Design and Economics for Chemical Engineers,"Peters, Max S.",5th,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2017,xvii;988,660.28 PET,Chemical Engineering (B.Tech),,,,,,9.78126E+12,Chemical Engineering (B.Tech),,
,B4157,Plant Design and Economics for Chemical Engineers,"Peters, Max S.",5th,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2017,xvii;988,660.28 PET,Chemical Engineering (B.Tech),,,,,,9.78126E+12,Chemical Engineering (B.Tech),,
,B4158,Industrial Robotics,"Groover, Mikell P",2nd,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2014,xix;516,629.892 GRO,Mechanical Engineering (B.Tech),,,,,,9.78126E+12,Mechanical Engineering (B.Tech),,
,B4159,Industrial Robotics,"Groover, Mikell P",2nd,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2014,xix;516,629.892 GRO,Mechanical Engineering (B.Tech),,,,,,9.78126E+12,Mechanical Engineering (B.Tech),,
,B4160,Industrial Robotics,"Groover, Mikell P",2nd,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2014,xix;516,629.892 GRO,Mechanical Engineering (B.Tech),,,,,,9.78126E+12,Mechanical Engineering (B.Tech),,
,B4161,Industrial Robotics,"Groover, Mikell P",2nd,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2014,xix;516,629.892 GRO,Mechanical Engineering (B.Tech),,,,,,9.78126E+12,Mechanical Engineering (B.Tech),,
,B4162,Industrial Robotics,"Groover, Mikell P",2nd,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2014,xix;516,629.892 GRO,Mechanical Engineering (B.Tech),,,,,,9.78126E+12,Mechanical Engineering (B.Tech),,
,B4163,Marketing management :,"Ramaswamy, V. S.,",Sixth Edition.,  Sage Publications, Sage Publications,2018,pages cm,658.8 RAM,Management (BBA),,,,,,9.78935E+12,Management (BBA),,
,B4164,Marketing management :,"Ramaswamy, V. S.,",Sixth Edition.,  Sage Publications, Sage Publications,2018,pages cm,658.8 RAM,Management (BBA),,,,,,9.78935E+12,Management (BBA),,
,B4165,Process Systems Analysis and Control,"Coughanowr, Donald R.",3rd,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2015,xx;602,660.2815 COU,Chemical Engineering (B.Tech),,,,,,9.78126E+12,Chemical Engineering (B.Tech),,
,B4166,Process Systems Analysis and Control,"Coughanowr, Donald R.",3rd,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2015,xx;602,660.2815 COU,Chemical Engineering (B.Tech),,,,,,9.78126E+12,Chemical Engineering (B.Tech),,
,B4167,Process Systems Analysis and Control,"Coughanowr, Donald R.",3rd,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2015,xx;602,660.2815 COU,Chemical Engineering (B.Tech),,,,,,9.78126E+12,Chemical Engineering (B.Tech),,
,B4168,Process Systems Analysis and Control,"Coughanowr, Donald R.",3rd,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2015,xx;602,660.2815 COU,Chemical Engineering (B.Tech),,,,,,9.78126E+12,Chemical Engineering (B.Tech),,
,B4169,Economics of development and planning,"Puri, V.K.",17th,  Himalaya Publishing House, Himalaya Publishing House,2017,xxiii;886,338.954 PUR,Management (BBA),,,,,,9.78935E+12,Management (BBA),,
,B4170,Economics of development and planning,"Puri, V.K.",17th,  Himalaya Publishing House, Himalaya Publishing House,2017,xxiii;886,338.954 PUR,Management (BBA),,,,,,9.78935E+12,Management (BBA),,
,B4171,"Money, Banking, International Trade and public finance","Mithani, D.M.",17th,Mumbai Himalaya Publishing House, Himalaya Publishing House,2017,731,332.10954 MIT,Management (BBA),,,,,,9.78935E+12,Management (BBA),,
,B4172,"Money, Banking, International Trade and public finance","Mithani, D.M.",17th,Mumbai Himalaya Publishing House, Himalaya Publishing House,2017,731,332.10954 MIT,Management (BBA),,,,,,9.78935E+12,Management (BBA),,
,B4173,"Money, Banking, International Trade and public finance","Mithani, D.M.",17th,Mumbai Himalaya Publishing House, Himalaya Publishing House,2017,731,332.10954 MIT,Management (BBA),,,,,,9.78935E+12,Management (BBA),,
,B4174,Structural Analysis I,"Parekar, Suresh R.",1st,Pune Nirali Prakashan,Pune Nirali Prakashan,2017,13.58,624.171 PAR,Civil Engineering (B.Tech),,,,,,9.78938E+12,Civil Engineering (B.Tech),,
,B4175,Structural Analysis I,"Parekar, Suresh R.",1st,Pune Nirali Prakashan,Pune Nirali Prakashan,2017,13.58,624.171 PAR,Civil Engineering (B.Tech),,,,,,9.78938E+12,Civil Engineering (B.Tech),,
,B4176,Structural Analysis I,"Parekar, Suresh R.",1st,Pune Nirali Prakashan,Pune Nirali Prakashan,2017,13.58,624.171 PAR,Civil Engineering (B.Tech),,,,,,9.78938E+12,Civil Engineering (B.Tech),,
,B4177,Structural Analysis I,"Parekar, Suresh R.",1st,Pune Nirali Prakashan,Pune Nirali Prakashan,2017,13.58,624.171 PAR,Civil Engineering (B.Tech),,,,,,9.78938E+12,Civil Engineering (B.Tech),,
,B4178,Structural Analysis I,"Parekar, Suresh R.",1st,Pune Nirali Prakashan,Pune Nirali Prakashan,2017,13.58,624.171 PAR,Civil Engineering (B.Tech),,,,,,9.78938E+12,Civil Engineering (B.Tech),,
,B4179,Structural Analysis I,"Parekar, Suresh R.",1st,Pune Nirali Prakashan,Pune Nirali Prakashan,2017,13.58,624.171 PAR,Civil Engineering (B.Tech),,,,,,9.78938E+12,Civil Engineering (B.Tech),,
,B4180,Structural Analysis I,"Parekar, Suresh R.",1st,Pune Nirali Prakashan,Pune Nirali Prakashan,2017,13.58,624.171 PAR,Civil Engineering (B.Tech),,,,,,9.78938E+12,Civil Engineering (B.Tech),,
,B4181,Structural Analysis II,"Parekar, S.R.",1st,Pune Nirali Prakashan,Pune Nirali Prakashan,2017,6.84,624.171 PAR,Civil Engineering (B.Tech),,,,,,9.78935E+12,Civil Engineering (B.Tech),,
,B4182,Structural Analysis II,"Parekar, S.R.",1st,Pune Nirali Prakashan,Pune Nirali Prakashan,2017,6.84,624.171 PAR,Civil Engineering (B.Tech),,,,,,9.78935E+12,Civil Engineering (B.Tech),,
,B4183,Structural Analysis II,"Parekar, S.R.",1st,Pune Nirali Prakashan,Pune Nirali Prakashan,2017,6.84,624.171 PAR,Civil Engineering (B.Tech),,,,,,9.78935E+12,Civil Engineering (B.Tech),,
,B4184,Structural Analysis II,"Parekar, S.R.",1st,Pune Nirali Prakashan,Pune Nirali Prakashan,2017,6.84,624.171 PAR,Civil Engineering (B.Tech),,,,,,9.78935E+12,Civil Engineering (B.Tech),,
,B4185,Structural Analysis II,"Parekar, S.R.",1st,Pune Nirali Prakashan,Pune Nirali Prakashan,2017,6.84,624.171 PAR,Civil Engineering (B.Tech),,,,,,9.78935E+12,Civil Engineering (B.Tech),,
,B4186,Structural Analysis II,"Parekar, S.R.",1st,Pune Nirali Prakashan,Pune Nirali Prakashan,2017,6.84,624.171 PAR,Civil Engineering (B.Tech),,,,,,9.78935E+12,Civil Engineering (B.Tech),,
,B4187,Structural Analysis II,"Parekar, S.R.",1st,Pune Nirali Prakashan,Pune Nirali Prakashan,2017,6.84,624.171 PAR,Civil Engineering (B.Tech),,,,,,9.78935E+12,Civil Engineering (B.Tech),,
,B4188,Problems and Solutions in Advanced Accountancy vol. I,"Maheshwari, S N",6th,Noida Vikas Publishing House pvt ltd, Vikas Publishing House pvt ltd,2014,xii;3.294,657 MAH,Management (BBA),,,,,,9.78813E+12,Management (BBA),,
,B4189,Problems and Solutions in Advanced Accountancy vol. I,"Maheshwari, S N",6th,Noida Vikas Publishing House pvt ltd, Vikas Publishing House pvt ltd,2014,xii;3.294,657 MAH,Management (BBA),,,,,,9.78813E+12,Management (BBA),,
,B4190,Problems and Solutions in Advanced Accountancy vol. I,"Maheshwari, S N",6th,Noida Vikas Publishing House pvt ltd, Vikas Publishing House pvt ltd,2014,xii;3.294,657 MAH,Management (BBA),,,,,,9.78813E+12,Management (BBA),,
,B4191,Design of reinforced concrete structures,"Raju, N krishna",4th,  CBS publishers & distributors pvt ltd, CBS publishers & distributors pvt ltd,2019,xix;404,624.18341 RAJ,Civil Engineering (B.Tech),,,,,,9.78939E+12,Civil Engineering (B.Tech),,
,B4192,Design of reinforced concrete structures,"Raju, N krishna",4th,  CBS publishers & distributors pvt ltd, CBS publishers & distributors pvt ltd,2019,xix;404,624.18341 RAJ,Civil Engineering (B.Tech),,,,,,9.78939E+12,Civil Engineering (B.Tech),,
,B4193,Design of reinforced concrete structures,"Raju, N krishna",4th,  CBS publishers & distributors pvt ltd, CBS publishers & distributors pvt ltd,2019,xix;404,624.18341 RAJ,Civil Engineering (B.Tech),,,,,,9.78939E+12,Civil Engineering (B.Tech),,
,B4194,Design of reinforced concrete structures,"Raju, N krishna",4th,  CBS publishers & distributors pvt ltd, CBS publishers & distributors pvt ltd,2019,xix;404,624.18341 RAJ,Civil Engineering (B.Tech),,,,,,9.78939E+12,Civil Engineering (B.Tech),,
,B4195,Design of reinforced concrete structures,"Raju, N krishna",4th,  CBS publishers & distributors pvt ltd, CBS publishers & distributors pvt ltd,2019,xix;404,624.18341 RAJ,Civil Engineering (B.Tech),,,,,,9.78939E+12,Civil Engineering (B.Tech),,
,B4196,Reinforced concrete design,,3rd,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2018,xviii;962,624.18341 PIL,Civil Engineering (B.Tech),,,,,,9.78007E+12,Civil Engineering (B.Tech),,
,B4197,Reinforced concrete design,,3rd,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2018,xviii;962,624.18341 PIL,Civil Engineering (B.Tech),,,,,,9.78007E+12,Civil Engineering (B.Tech),,
,B4198,Reinforced concrete design,,3rd,  McGraw Hill Education pvt ltd, McGraw Hill Education pvt ltd,2018,xviii;962,624.18341 PIL,Civil Engineering (B.Tech),,,,,,9.78007E+12,Civil Engineering (B.Tech),,
,B4199,Personnel management and human resources,,1st,  McGraw Hill education pvt ltd, McGraw Hill education pvt ltd,2011,xii;343,658.403 VEN,Management (BBA),,,,,,9.78007E+12,Management (BBA),,
,B4200,Personnel management and human resources,,1st,  McGraw Hill education pvt ltd, McGraw Hill education pvt ltd,2011,xii;343,658.403 VEN,Management (BBA),,,,,,9.78007E+12,Management (BBA),,
,B4201,Personnel management and human resources,,1st,  McGraw Hill education pvt ltd, McGraw Hill education pvt ltd,2011,xii;343,658.403 VEN,Management (BBA),,,,,,9.78007E+12,Management (BBA),,
